Geographic Location,city_lat,city_lon,ann_rain_inch,ann_snow_inch,min_jan,min_feb,min_mar,min_apr,min_may,min_jun,min_jul,min_aug,min_sep,min_oct,min_nov,min_dec,max_jan,max_feb,max_mar,max_apr,max_may,max_jun,max_jul,max_aug,max_sep,max_oct,max_nov,max_dec
"Circleville, OH",39.600618,-82.9460133,38.92,1.6,21.1,23.6,30.5,40.3,50.4,60.0,63.3,61.7,54.0,42.7,33.9,25.2,37.2,41.0,51.2,64.0,73.1,81.8,84.7,83.9,78.0,66.3,53.7,40.8
"Leavittsburg, OH",41.244277499999995,-80.87802460770374,39.19,3.65,16.5,17.5,24.7,34.6,43.8,53.5,57.6,56.2,49.1,38.4,30.9,21.4,34.0,37.3,47.0,60.2,70.1,78.7,82.5,81.1,73.7,62.1,50.3,37.9
"Gainesville, FL",29.6519684,-82.3249846,47.33,0.0,41.5,42.4,48.6,53.4,61.4,68.4,69.7,70.6,67.0,58.4,50.4,44.2,66.9,69.9,75.2,80.8,87.5,90.7,91.8,91.3,88.8,82.3,75.8,68.4
"Victoria, TX",28.8026443,-96.9766308,36.54,0.02,40.7,45.4,51.3,57.8,67.1,71.9,74.5,74.0,68.9,60.1,51.5,42.3,65.4,67.8,73.6,79.9,85.5,90.9,94.1,95.1,90.1,83.9,73.1,66.3
"Mohave Valley, AZ",35.0527235,-114.57165298708591,8.82,0.02,44.1,46.5,50.3,56.5,65.7,73.2,80.1,79.9,71.8,60.2,50.1,43.2,66.3,71.3,79.6,88.5,98.4,107.9,112.2,110.3,103.6,90.4,75.4,65.1
"Fort Mohave, AZ",36.9701134,-113.3058777,14.0,0,29.6,33.9,40.0,45.2,52.9,60.6,67.7,66.9,58.6,46.8,35.4,28.9,54.6,59.8,68.0,75.8,86.2,95.8,100.6,98.3,91.1,77.9,63.6,53.6
"Anchorage, AK",61.2163129,-149.8948523,15.73,8.21,8.7,10.9,18.3,29.7,41.0,48.9,53.5,50.8,42.2,29.2,15.5,11.1,22.8,27.4,35.1,46.4,57.6,64.8,68.0,64.6,56.3,41.3,27.6,24.5
"Meridian, ID",43.6086295,-116.392326,18.64,3.45,24.7,28.3,34.4,39.3,46.5,53.7,60.4,59.6,51.0,40.9,31.9,24.0,37.8,44.7,54.6,62.3,71.6,81.3,91.2,89.7,78.8,64.8,48.2,37.5
"Spring Valley, CA",32.729639500000005,-116.9668617593562,12.31,0.0,46.5,47.5,49.7,52.6,56.5,59.8,63.4,64.7,62.8,57.6,50.8,45.9,69.4,69.3,70.5,73.8,75.4,79.1,84.0,85.9,85.3,79.3,73.6,68.9
"Phelan, CA",34.426298,-117.5725026,24.04,0.0,25.9,24.7,28.4,32.9,40.4,45.1,52.3,50.9,46.5,36.4,29.1,24.5,46.2,47.6,53.3,60.1,69.1,77.6,83.1,80.6,74.0,63.6,53.6,47.3
"Kahuku, HI",21.679124,-157.94838,54.52,0.0,64.5,64.4,65.7,67.3,68.3,70.9,71.9,72.6,72.4,71.2,69.4,66.7,77.8,77.5,78.1,78.6,80.0,81.9,82.7,83.7,83.7,83.2,80.6,78.7
"Center, TX",31.7954512,-94.1790862,53.01,0.04,35.1,38.1,44.8,52.0,61.3,68.3,71.6,70.7,63.7,52.9,43.9,36.4,59.0,63.0,70.5,77.7,84.8,91.0,94.4,95.3,89.5,79.7,69.4,60.5
"Boise, ID",43.6166163,-116.200886,18.64,3.45,24.7,28.3,34.4,39.3,46.5,53.7,60.4,59.6,51.0,40.9,31.9,24.0,37.8,44.7,54.6,62.3,71.6,81.3,91.2,89.7,78.8,64.8,48.2,37.5
"Covington, KY",39.0836224,-84.508371,46.17,1.59,22.4,24.9,32.6,41.9,51.5,60.5,64.7,63.2,55.1,43.3,34.3,25.9,40.1,44.7,54.7,66.1,74.9,83.0,86.6,85.8,79.2,67.6,55.5,43.2
"West Lafayette, IN",40.4258686,-86.9080655,39.35,2.34,15.0,17.9,25.4,37.1,47.0,58.5,62.5,60.5,53.4,41.0,31.7,20.1,38.0,42.5,54.6,68.1,77.2,87.2,90.5,88.5,81.6,68.1,54.7,40.1
"South Miami, FL",25.707846699999997,-80.29563567682854,50.08,0.0,59.9,62.3,64.9,68.3,72.9,76.0,77.3,77.4,76.5,73.5,68.1,63.0,76.4,78.1,80.3,83.2,87.0,89.5,90.9,91.0,89.3,86.2,81.7,77.9
"Villa Park, CA",33.8147541,-117.8206235,22.97,0,48.1,48.4,50.7,53.4,57.4,60.9,64.6,64.9,63.0,58.2,52.1,47.2,71.0,71.0,72.8,75.5,78.4,81.4,86.6,88.7,86.9,81.7,75.7,70.2
"Lincolnshire, IL",42.1900249,-87.9084039,37.75,3.49,16.6,20.4,28.9,37.6,47.5,57.8,63.8,63.1,54.3,42.6,32.0,20.9,30.8,35.2,46.1,57.9,69.1,79.0,83.3,81.5,74.3,61.7,48.1,35.1
"Pomona, CA",34.0553813,-117.7517496,17.15,0.0,43.2,44.9,46.6,49.3,54.1,57.4,61.7,61.7,60.3,54.5,47.1,42.3,68.1,68.5,70.9,75.7,78.8,83.5,90.1,91.5,88.7,80.4,73.6,67.4
"Diamond, OH",41.0989463,-81.022871,39.03,21.89,16.5,17.5,24.7,34.6,43.8,53.5,57.6,56.2,49.1,38.4,30.9,21.4,34.0,37.3,47.0,60.2,70.1,78.7,82.5,81.1,73.7,62.1,50.3,37.9
"Morgantown, WV",39.6296809,-79.9559437,43.37,8.9,21.3,22.6,29.3,39.3,49.4,58.7,63.2,61.5,54.5,43.2,33.5,25.4,38.7,42.6,51.6,63.7,71.7,79.6,83.0,81.9,75.9,65.4,53.9,42.4
"Miami Gardens, FL",25.9423108,-80.23976495072381,67.1,0.0,57.7,60.0,62.5,66.5,70.7,74.2,75.6,75.8,75.1,72.4,65.9,60.9,75.5,76.9,79.2,82.1,85.6,88.8,90.1,90.5,88.9,85.7,80.7,77.0
"Booneville, MS",34.6580327,-88.5666451,57.08,0.21,27.7,31.2,38.9,47.0,56.6,64.7,68.7,67.4,59.8,48.2,38.8,30.7,49.1,53.8,63.0,71.8,78.9,85.9,89.0,89.0,83.2,72.8,62.2,51.6
"Cedar Bluff, VA",37.0876141,-81.7590032,42.9,1.76,21.1,24.0,29.5,38.1,47.6,56.5,60.5,59.7,51.9,39.4,31.4,23.6,42.8,46.4,54.8,64.9,72.8,79.8,82.6,82.2,76.8,66.9,57.1,45.6
"Stephens City, VA",39.0834398,-78.2180567,40.92,2.01,23.2,25.4,32.3,42.2,51.4,60.6,65.1,63.3,55.4,43.7,35.7,27.1,40.3,44.3,52.4,64.0,72.5,81.4,85.4,83.9,76.7,65.4,55.0,43.6
"Indian Head, MD",38.6005785,-77.1622733,45.66,1.52,28.5,30.7,36.3,45.7,55.0,64.1,68.7,67.7,60.3,49.5,40.7,31.4,44.7,49.0,57.7,68.9,74.8,81.8,84.9,83.4,77.4,68.0,59.0,48.0
"Fredericksburg, VA",38.3031837,-77.4605399,43.28,1.61,22.0,25.4,31.3,39.8,49.6,59.7,64.8,62.3,54.7,42.4,33.7,26.4,45.6,49.7,59.2,69.5,77.1,86.6,89.6,88.0,81.4,70.5,59.9,48.3
"Salisbury, NC",35.6709727,-80.4742261,44.59,0.45,27.7,30.8,37.3,46.6,55.8,64.8,68.8,67.5,59.8,47.8,37.6,30.2,50.4,54.6,62.7,71.8,79.0,86.2,89.4,87.9,81.4,72.4,62.3,52.7
"Liberty, PA",40.3253474,-79.8561591,37.97,10.68,20.3,22.1,28.4,37.6,47.1,56.2,61.0,60.0,52.2,40.8,32.5,24.2,37.8,41.6,51.1,63.9,73.0,81.0,84.7,83.3,76.1,64.8,53.0,41.3
"Reidsville, NC",36.3548586,-79.6644748,45.02,0.18,28.0,30.6,37.3,46.2,54.3,63.6,67.0,65.6,58.5,46.9,39.0,31.0,47.6,51.3,59.5,69.1,76.5,84.4,87.6,86.2,79.7,70.1,60.6,50.2
"China Grove, NC",35.569306,-80.5817318,42.03,0.37,25.8,28.7,36.1,44.6,54.1,63.3,66.9,65.9,58.0,45.3,36.1,28.2,49.1,53.0,60.9,70.0,77.5,85.1,88.0,86.6,80.1,70.8,61.6,51.4
"Mason, OH",39.3600586,-84.309939,43.2,1.63,20.9,23.0,30.9,40.3,49.9,59.8,63.4,61.8,53.0,41.4,33.5,24.5,37.6,41.3,51.9,64.0,73.4,82.2,85.4,84.9,78.4,66.4,53.7,41.1
"Union, KY",37.637247,-87.958036,47.46,1.22,22.4,25.2,33.8,43.4,52.6,62.1,65.6,63.6,55.5,43.4,35.3,25.5,42.3,47.5,57.9,68.7,76.2,84.0,87.6,87.8,81.2,70.4,58.0,45.3
"Newport, KY",39.0889469,-84.4919524,46.17,1.59,22.4,24.9,32.6,41.9,51.5,60.5,64.7,63.2,55.1,43.3,34.3,25.9,40.1,44.7,54.7,66.1,74.9,83.0,86.6,85.8,79.2,67.6,55.5,43.2
"Belfry, KY",37.6203804,-82.2690294,45.27,0.53,25.4,28.1,34.6,43.0,53.0,62.0,65.4,65.4,58.5,45.5,35.4,28.6,45.4,50.8,59.4,70.3,77.0,84.9,88.4,87.9,81.9,71.1,60.5,48.4
"Vienna, VA",38.9013729,-77.2651762,45.66,1.52,23.4,25.8,32.4,42.5,51.7,61.5,66.3,64.7,57.2,45.2,36.4,27.6,41.9,45.7,53.3,65.2,71.4,79.5,82.9,81.5,75.1,64.9,55.9,45.1
"Mansfield, OH",40.75839,-82.5154471,44.19,2.83,16.5,19.0,27.1,37.4,46.5,55.5,59.3,58.3,51.1,40.4,31.6,21.1,33.2,37.3,47.5,60.7,70.6,79.2,82.3,80.9,74.2,62.1,49.9,36.9
"Abbeville, MS",34.5031591,-89.5031368,50.84,0.09,29.9,33.7,42.2,50.9,60.8,69.1,72.5,70.9,63.3,51.3,42.3,33.2,47.6,52.6,61.8,71.2,80.0,87.7,90.5,90.2,84.4,74.1,61.7,50.6
"Mooringsport, LA",32.6876455,-93.961015,53.47,0.08,34.7,37.7,45.5,53.2,62.3,69.7,73.1,71.7,64.7,53.5,44.8,36.1,56.1,59.4,67.7,75.6,82.6,89.4,93.0,93.7,87.5,77.0,66.4,57.4
"Jefferson, LA",29.834772,-94.1704496,57.01,0,43.2,46.5,52.2,59.0,67.0,72.7,74.2,74.0,69.7,60.5,51.8,44.8,62.1,65.3,71.8,78.1,84.8,89.6,91.7,92.2,88.2,80.6,71.7,63.7
"Glen Allen, VA",37.6659781,-77.506374,43.41,1.1,27.8,30.2,36.3,45.3,54.7,63.4,68.1,66.8,58.9,47.3,38.3,30.6,47.9,51.6,60.6,70.7,78.0,86.3,89.9,88.1,81.7,71.6,61.4,51.3
"Minnetonka, MN",44.9127229,-93.499059,31.63,3.78,5.6,10.4,22.4,35.9,47.5,57.4,61.9,60.2,50.8,38.0,25.0,10.4,23.1,27.9,40.1,57.1,68.6,77.8,82.1,79.7,70.6,57.7,40.3,25.8
"Indianola, MS",33.4509513,-90.6550917,53.61,0.1,33.7,37.5,45.3,53.8,63.0,70.3,73.1,72.4,65.4,54.9,44.3,36.6,51.6,56.0,65.0,73.7,81.9,88.4,91.1,91.5,86.2,76.1,64.6,54.1
"Port Gibson, MS",31.9609914,-90.9839943,56.46,0,33.1,36.6,43.3,50.5,60.1,67.1,70.0,69.4,62.9,50.9,42.4,35.4,56.5,60.8,68.8,76.0,82.8,88.7,90.8,91.3,86.7,77.5,67.8,58.5
"Spring Hill, TN",35.751179,-86.9300023,55.2,0.14,26.0,28.5,35.7,44.2,53.7,62.5,66.6,65.3,58.0,45.4,37.2,28.5,47.7,51.4,61.3,71.1,78.9,86.5,89.7,90.0,83.6,73.0,61.4,49.9
"Lindale, TX",32.5156971,-95.4093998,48.2,0.1,32.5,36.9,44.5,52.1,61.5,69.2,72.2,70.8,63.6,52.9,43.8,34.5,57.0,61.1,68.7,76.6,83.9,90.8,94.4,95.2,88.4,79.0,67.6,58.4
"Cantonment, FL",30.605427,-87.344442,68.87,0.01,42.2,45.5,51.2,57.6,66.0,72.5,74.5,74.2,70.3,60.3,51.2,44.4,60.5,63.8,69.6,75.7,83.2,88.5,89.9,89.4,86.5,78.9,70.3,62.6
"Fayetteville, AR",36.0625843,-94.1574328,47.09,0.4,26.3,29.7,37.8,46.9,55.8,64.6,69.2,67.8,59.2,47.4,38.2,28.8,46.4,51.0,59.2,68.8,75.9,83.6,88.8,89.2,81.2,70.4,59.0,48.4
"Krum, TX",33.2618362,-97.2374668,38.09,0.16,31.3,35.4,43.0,51.7,60.9,68.7,72.2,71.7,63.8,52.5,42.7,32.7,55.8,59.6,67.4,75.2,83.4,91.2,95.9,95.8,88.4,77.8,65.9,56.2
"Crofton, MD",39.0017772,-76.6874671,47.27,1.36,22.4,24.3,31.8,41.0,51.0,60.9,65.7,64.3,56.3,43.8,34.3,26.9,42.4,46.2,54.6,65.4,74.2,82.9,87.4,85.6,78.7,67.7,56.9,46.4
"Monroe, NC",34.9854275,-80.5495112,45.91,0.23,29.8,32.0,38.4,46.8,56.3,65.3,68.9,67.6,60.5,48.8,38.7,31.7,52.8,56.5,64.4,73.4,80.7,87.9,90.7,89.1,83.3,74.2,64.7,55.0
"Chapin, SC",34.1659795,-81.3498212,45.47,0.1,32.7,35.8,41.9,49.9,58.3,66.2,69.2,68.3,62.0,51.2,42.6,35.0,51.9,56.5,63.8,71.9,79.4,85.8,88.9,87.0,81.4,72.2,63.4,54.3
"Duncan, SC",34.9378962,-82.1451096,48.41,0.04,32.0,34.9,41.2,48.3,57.2,65.8,69.4,68.7,61.8,50.4,41.3,34.0,52.4,56.6,64.5,72.8,80.2,87.5,90.3,88.6,82.2,72.8,63.5,54.1
"Atlantic Beach, FL",30.3344077,-81.398696,48.81,0.0,46.6,49.4,54.5,59.9,67.5,72.9,74.5,74.9,73.6,66.7,57.3,49.9,64.4,67.1,71.6,77.2,83.0,87.2,89.9,88.7,85.9,80.2,73.0,66.6
"Laurens, SC",34.4646451,-81.9944042,44.9,0.05,28.8,31.9,38.7,46.7,56.6,65.8,69.2,68.0,60.4,47.8,38.3,31.3,52.4,56.9,64.6,73.5,81.4,88.3,91.2,89.6,83.6,73.9,64.4,55.0
"Honea Path, SC",34.4478795,-82.39460552446766,48.59,0.02,31.1,34.6,40.2,48.7,58.3,66.6,70.4,69.7,62.6,50.8,41.2,33.3,53.2,57.4,65.2,73.4,80.8,88.2,90.9,89.8,83.4,73.8,64.5,54.8
"York, SC",39.962398,-76.727392,42.05,3.19,21.9,24.0,30.8,40.0,49.4,59.0,63.3,62.0,54.6,43.0,34.8,26.0,40.2,44.3,53.9,66.0,75.5,83.6,87.0,85.3,78.4,67.5,55.4,43.4
"Gaffney, SC",35.0717945,-81.6498195,49.56,0.38,26.9,29.8,36.5,44.5,54.1,62.5,66.2,65.2,57.5,45.3,36.3,28.8,51.1,55.1,63.2,71.6,79.0,86.3,89.7,88.3,81.7,72.5,63.1,53.1
"Franklin Lakes, NJ",41.0167639,-74.2057012,51.98,3.5,19.5,21.6,29.7,39.8,49.7,59.6,64.7,63.2,54.8,42.0,34.2,25.3,37.7,41.0,49.9,61.7,71.6,81.0,85.4,83.5,75.8,64.4,53.9,42.5
"Chanhassen, MN",44.8618403,-93.5307207,30.02,3.78,5.6,10.4,22.4,35.9,47.5,57.4,61.9,60.2,50.8,38.0,25.0,10.4,23.1,27.9,40.1,57.1,68.6,77.8,82.1,79.7,70.6,57.7,40.3,25.8
"Charlottesville, VA",38.029306,-78.4766781,47.68,0.85,24.7,26.6,34.6,44.2,53.7,62.6,66.5,65.1,57.1,46.2,36.7,28.2,42.2,45.8,54.2,64.3,71.9,80.4,84.1,82.3,74.7,65.0,55.9,45.2
"Dix Hills, NY",40.80191705,-73.33743713763212,53.15,0.0,23.8,25.5,31.4,40.6,50.1,60.0,66.0,65.3,58.7,48.0,39.1,29.4,37.0,40.3,47.8,59.4,69.2,77.9,82.2,80.7,73.4,62.5,52.6,42.2
"Providence, RI",41.8239891,-71.4128343,51.42,5.71,21.0,23.6,30.0,39.6,48.6,58.4,64.2,63.2,55.3,43.9,35.7,26.3,37.4,40.3,47.8,58.6,68.4,77.5,82.8,81.4,74.2,63.3,53.2,42.3
"Weston, FL",26.103632,-80.40310198173701,61.68,0.0,49.8,53.2,56.2,59.5,65.5,71.0,72.4,73.0,72.5,67.8,60.3,53.8,74.4,77.1,79.8,83.8,88.2,89.9,91.0,90.8,89.1,85.4,80.5,75.8
"Concord, CA",37.9768525,-122.0335624,16.46,0.0,41.0,43.8,46.4,48.9,52.9,56.4,57.9,58.5,57.0,52.6,45.8,40.9,56.8,62.1,66.5,71.5,77.3,83.4,88.0,87.3,85.3,77.0,65.2,56.8
"Evanston, IL",42.0447388,-87.6930459,37.75,3.49,17.7,21.3,29.1,39.3,48.9,58.8,64.7,64.2,55.9,44.0,33.4,21.9,32.1,36.4,46.9,58.9,69.8,79.1,83.4,82.2,75.1,62.7,49.1,36.1
"Jonesboro, AR",35.8428646,-90.7034522,45.27,0.09,25.7,29.7,38.0,48.0,57.4,65.9,69.7,68.3,59.5,48.2,37.9,28.9,45.7,50.8,61.0,71.1,79.7,87.8,90.7,90.3,83.4,73.0,59.9,48.2
"De Witt, AR",34.2928774,-91.3378987,51.89,0.03,31.6,35.3,42.8,50.8,60.3,68.3,71.4,70.0,62.2,50.7,42.1,33.7,50.5,55.5,64.4,73.3,80.7,88.5,91.8,91.7,86.0,75.7,64.3,52.8
"Sedalia, MO",38.7098314,-93.2295515,44.3,1.59,1.8,3.6,12.1,22.5,30.6,36.3,41.8,39.8,32.6,23.4,13.4,2.5,24.4,27.1,36.5,46.9,58.5,67.1,77.0,76.0,67.6,52.2,35.1,23.7
"Sinking Spring, PA",40.3246704,-76.0171505,45.6,1.01,21.7,23.2,31.4,40.7,49.9,59.8,64.3,62.5,55.0,43.2,34.7,26.1,37.7,41.3,50.7,62.4,72.4,81.2,85.2,83.4,75.7,64.2,53.4,41.7
"Glenshaw, PA",40.5328462,-79.9675536,41.61,2.91,20.8,21.9,29.6,38.6,50.8,60.6,65.7,63.4,55.3,44.2,34.4,25.2,37.1,40.1,49.8,61.9,71.2,79.4,83.2,81.9,75.4,63.7,52.8,40.7
"Mill Hall, PA",41.10729,-77.48443,44.38,4.97,18.1,19.4,26.7,36.4,46.5,56.0,60.4,59.2,51.7,39.8,31.7,23.6,34.6,38.5,48.3,61.9,72.4,80.3,84.2,82.7,75.0,63.3,50.8,39.1
"Macungie, PA",40.5159304,-75.5551858,46.32,1.08,19.1,20.0,27.5,38.7,48.2,58.8,63.7,60.9,53.3,40.4,33.4,24.4,37.0,40.8,49.2,61.7,71.8,80.5,84.9,83.3,76.3,64.6,53.5,41.4
"East Freedom, PA",40.3575744,-78.4297365,42.43,2.06,19.7,21.1,28.1,38.2,47.1,56.2,59.9,58.4,51.1,41.0,33.4,23.6,34.0,37.2,46.5,59.5,69.0,77.2,81.4,80.0,72.2,61.2,49.7,37.7
"Hanover, PA",39.8063247,-76.9842735,44.64,2.97,18.9,20.3,28.3,36.8,47.7,58.4,62.2,61.0,52.1,41.2,31.0,23.2,38.2,41.3,50.8,62.6,73.6,83.1,87.5,85.8,77.3,65.8,54.5,43.3
"Burlington, NJ",39.9325409,-74.7226665,47.58,1.81,23.0,24.4,31.0,39.9,48.7,58.6,63.4,62.2,55.0,43.2,35.5,27.7,43.3,46.2,54.9,65.8,75.5,83.9,87.6,86.2,80.0,68.7,58.4,46.8
"Spotsylvania, VA",38.200965,-77.589154,42.99,1.33,24.3,26.1,33.2,43.0,52.4,62.5,67.1,65.7,58.0,44.9,35.6,27.3,45.3,48.7,56.9,67.5,75.9,84.5,87.8,86.5,80.0,69.9,59.4,49.0
"Mars, PA",40.6958342,-80.011878,41.61,2.91,18.2,19.0,25.9,34.9,44.4,54.2,58.2,57.1,49.5,38.9,31.2,22.9,34.5,37.7,47.0,60.2,69.7,78.3,81.9,81.0,74.0,62.1,50.6,38.4
"Elmhurst, IL",40.7365804,-73.8783932,49.03,2.52,26.6,28.5,34.6,44.4,53.9,63.8,69.5,68.9,61.9,51.0,41.8,32.1,39.3,42.2,49.8,60.9,71.2,80.5,85.3,83.7,76.3,65.2,54.7,44.3
"Meadville, PA",41.641445,-80.151449,43.65,21.89,16.9,17.6,23.9,34.8,44.0,53.8,57.8,56.9,50.1,39.8,32.2,22.2,33.3,36.0,45.2,59.0,69.2,77.7,81.4,80.2,73.0,61.3,49.6,37.2
"Perryton, TX",36.3910033,-100.8060018,21.39,1.07,19.0,21.9,29.2,37.5,48.4,58.2,63.2,62.4,53.9,41.7,28.9,20.4,48.2,51.6,60.6,69.7,78.0,87.0,92.4,90.8,83.2,71.0,59.2,47.5
"Cairo, GA",30.8774063,-84.2013936,49.86,0.0,13.7,13.8,22.3,32.9,43.5,53.6,58.2,55.8,48.6,38.1,29.7,20.1,29.2,31.6,42.2,56.4,68.3,78.3,82.4,79.9,72.5,59.6,46.4,33.8
"Blackshear, GA",31.3060513,-82.2420661,51.85,0.04,35.7,39.0,44.9,50.2,59.1,67.7,70.8,70.4,65.0,54.1,45.2,37.6,62.2,65.9,72.9,79.2,86.4,90.9,92.9,91.2,87.3,79.7,72.7,64.0
"EAST KENTWOOD, MI",37.1214834,-93.4621262,43.52,0.55,20.9,24.8,32.9,41.9,52.6,61.3,66.0,64.4,56.2,44.1,33.6,23.5,44.6,49.8,59.2,69.1,76.7,84.7,89.6,90.3,82.3,70.3,58.6,46.5
"Fenton, MI",42.7978061,-83.7049498,32.43,2.86,15.3,15.9,24.0,34.5,45.9,56.0,59.3,57.8,50.0,39.4,31.1,20.4,29.8,32.6,42.5,56.1,67.9,77.5,81.2,79.4,72.2,59.4,46.4,34.0
"Potomac, MD",39.017936,-77.2094542,43.73,1.52,25.4,28.2,34.7,44.1,53.6,63.4,68.1,66.9,59.6,47.1,37.7,28.7,43.0,47.3,56.2,68.2,76.5,84.9,88.5,86.7,79.8,68.6,57.5,46.4
"Pasadena, MD",39.1361859,-76.5490844,47.27,4.53,24.4,26.6,33.5,42.7,52.0,61.9,66.8,65.2,57.6,45.4,36.5,28.1,41.4,44.9,53.6,64.6,73.9,83.0,87.2,85.1,77.9,66.8,56.4,45.3
"Chester, PA",39.9829308,-75.7652424,49.32,0.78,20.9,22.9,29.8,39.4,49.1,58.5,63.3,61.9,54.0,42.5,33.9,25.2,37.5,41.0,50.3,62.2,72.0,80.6,84.7,83.1,75.8,64.3,53.4,42.0
"Bogue Chitto, MS",31.515681,-90.456791,63.65,0,34.6,38.0,44.2,51.1,60.1,67.6,70.3,69.6,63.5,51.8,43.5,36.9,58.0,62.0,69.5,76.5,83.1,88.8,91.0,91.3,87.0,78.3,68.9,60.0
"Union, SC",34.6941696,-81.642794,44.07,0.02,27.7,30.6,36.6,44.8,53.6,63.2,67.3,66.7,59.4,46.8,37.1,30.3,53.7,58.2,66.2,75.0,82.1,88.8,91.6,90.2,83.9,74.4,65.3,56.0
"Dillon, SC",34.4165391,-79.3713948,45.33,0.17,8.5,11.6,22.1,33.1,43.8,54.8,58.2,56.3,47.6,37.2,26.1,13.8,25.1,29.3,39.8,54.7,66.6,75.7,80.9,78.4,70.3,57.6,42.6,29.0
"Pendleton, SC",34.6508092,-82.7820663,48.36,0.11,30.0,32.6,39.2,47.1,56.2,64.5,68.1,67.7,61.0,48.9,39.6,32.2,51.7,55.7,63.3,71.8,79.5,86.8,90.0,88.7,82.6,72.7,63.7,53.7
"Aynor, SC",33.9998881,-79.1994874,52.07,0.14,32.1,34.2,40.8,48.2,57.6,66.9,70.9,69.1,62.9,52.0,41.6,34.1,54.0,58.3,66.0,74.2,81.7,87.8,90.8,88.7,83.7,74.9,65.8,56.5
"Rocky Mount, NC",35.9423833,-77.7956949,47.35,0.23,28.5,31.8,37.3,45.1,54.2,63.7,67.6,66.3,59.1,46.8,39.0,32.5,50.7,54.8,62.4,71.5,78.7,85.8,89.0,87.3,81.5,72.7,63.9,54.3
"Jupiter, FL",26.9260832,-80.12108914060954,52.61,0.0,56.6,58.3,61.7,65.8,71.1,75.1,76.4,76.3,75.8,72.3,66.2,60.2,74.2,76.0,78.6,82.4,85.5,89.3,90.9,91.2,89.5,85.5,80.8,76.0
"Lutz, FL",28.1511243,-82.4614831,52.84,0.0,51.6,54.4,58.2,63.0,69.7,74.8,75.9,76.2,74.5,68.0,60.3,54.2,69.9,72.5,76.3,81.0,87.2,89.6,90.1,90.2,88.9,84.3,78.0,72.0
"Indian Harbour Beach, FL",28.1489021,-80.5883855,54.35,0.0,49.2,51.7,55.1,60.0,67.0,71.7,72.6,73.2,72.7,67.9,59.5,52.8,71.4,73.6,76.7,80.8,85.6,89.1,90.7,90.5,88.4,84.1,78.5,73.3
"Richardson, TX",32.9481789,-96.7297206,38.67,0.1,33.9,38.0,45.2,54.2,63.6,70.2,73.8,73.8,66.2,55.3,44.9,35.7,55.8,59.0,66.8,75.1,82.7,89.3,94.1,95.1,87.6,77.5,65.9,56.8
"Del Rio, TX",29.3655405,-100.8946984,20.19,0.06,40.6,45.0,52.1,59.6,67.9,73.4,75.2,75.3,69.8,61.0,49.6,40.8,63.8,68.6,76.2,83.6,89.8,94.7,96.6,97.1,90.8,82.4,72.0,64.0
"Green Cove Springs, FL",29.9919085,-81.6781467,49.42,0.0,45.1,48.3,53.5,58.5,66.7,72.6,74.5,74.7,72.4,64.7,55.5,47.9,64.7,67.9,73.2,79.0,85.4,89.6,91.4,90.5,87.2,80.8,73.6,66.5
"Atchison, KS",39.545816,-95.3326052,37.82,2.39,18.8,22.5,32.0,43.1,54.9,64.1,69.1,66.4,57.4,46.0,33.4,21.8,36.0,41.4,53.3,64.4,73.6,82.4,87.1,86.0,78.0,66.1,51.5,38.1
"Winter Park, FL",28.5977707,-81.3510264,50.73,0.0,49.8,53.4,57.2,61.7,67.8,73.2,75.5,75.6,74.1,67.7,59.8,53.8,70.7,73.1,77.4,82.1,87.9,90.7,91.8,91.6,89.2,84.1,77.9,72.2
"Douglas, AL",34.1652665,-86.322872,58.24,0.01,27.5,30.5,37.5,45.4,54.9,62.8,66.0,64.4,57.4,45.7,36.8,29.8,49.9,54.4,63.4,72.3,80.4,87.6,90.6,90.8,84.9,74.5,63.3,52.6
"Nacogdoches, TX",31.5970503,-94.5927451,55.52,0.01,35.8,38.7,45.1,52.8,62.6,69.6,72.3,71.6,64.9,54.2,44.9,36.6,58.0,61.8,69.3,76.8,83.7,89.8,93.2,94.5,88.6,79.0,68.6,59.4
"Laguna Park, TX",31.8593247,-97.3797357,36.06,0.09,34.8,37.9,45.6,53.2,62.6,69.2,71.7,71.5,65.3,54.9,45.1,35.7,58.4,61.7,69.4,77.7,85.0,91.6,96.4,97.1,90.2,80.3,69.0,59.4
"Union, NJ",40.6652251,-74.3045277,50.79,1.79,21.8,24.0,30.0,39.2,48.5,58.6,63.7,62.4,54.8,42.8,34.9,26.5,40.1,43.8,52.0,63.4,72.9,81.7,86.1,84.5,77.2,66.1,55.8,44.2
"Bridgewater, NJ",40.5598127,-74.5517146,50.04,4.53,18.9,20.6,27.7,37.2,46.9,56.5,61.5,60.1,52.3,40.5,32.3,23.9,37.2,40.8,49.4,61.4,71.7,80.1,84.6,83.1,76.3,65.1,53.6,41.6
"Galloway, NJ",39.4646097,-74.4986142,40.01,1.44,24.5,26.4,32.7,41.8,51.0,61.2,66.9,65.2,57.4,45.6,37.2,28.4,41.5,44.3,51.8,61.7,71.3,80.6,85.5,83.7,77.0,66.6,56.3,46.0
"Parsippany, NJ",40.8578772,-74.4259866,49.11,2.21,19.4,21.0,28.7,39.2,48.7,58.3,63.1,61.4,53.1,41.2,33.2,24.4,36.9,40.4,48.8,61.3,71.8,80.3,84.6,83.2,76.0,64.5,53.3,42.0
